【  央视频道  】,#genre#
CCTV1,http://112.114.137.134:888/hls/1/index.m3u8
CCTV1,http://125.88.8.114:9901/tsfile/live/0001_1.m3u8
CCTV1,http://111.225.94.184:8800/hls/1/index.m3u8
CCTV1,http://112.46.85.60:8002/hls/501/index.m3u8
CCTV1,http://111.225.92.33:8800/hls/1/index.m3u8
CCTV1,http://182.126.117.20:808/hls/1/index.m3u8
CCTV1,http://171.8.245.48:808/hls/1/index.m3u8
CCTV1,http://123.54.170.154:808/hls/1/index.m3u8
CCTV1,http://110.72.81.106:808/hls/54/index.m3u8
CCTV1,http://115.204.73.138:8888/rtp/233.50.201.118:5140
CCTV1,http://27.11.57.83:8008/udp/225.0.4.74:7980
CCTV1,http://117.30.115.27:8888/rtp/239.61.3.61:9884
CCTV1,http://123.145.78.178:8002/udp/225.0.4.74:7980
CCTV1,http://27.16.188.107:4022/rtp/239.254.96.96:8550
CCTV1,http://125.120.147.105:8888/rtp/233.50.201.118:5140
CCTV1-综合,http://58.19.182.187:9901/tsfile/live/0001_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV1超清,http://116.5.239.220:8000/udp/239.77.0.129:5146
CCTV1超清,http://113.74.172.130:4000/udp/239.77.0.129:5146
CCTV1超清,http://14.216.233.242:8888/udp/239.77.0.129:5146
CCTV1超清,http://183.7.106.241:4022/udp/239.77.0.129:5146
CCTV1超清,http://113.111.17.115:8888/udp/239.77.0.129:5146
CCTV1超清,http://113.71.149.149:5555/udp/239.77.0.129:5146
CCTV1超清,http://218.19.110.145:9999/udp/239.77.0.129:5146
CCTV1超清,http://113.65.7.195:8888/udp/239.77.0.129:5146
CCTV1超清,http://113.100.72.95:8899/udp/239.77.0.129:5146
CCTV1超清,http://218.19.111.218:9999/udp/239.77.0.129:5146
CCTV1超清,http://219.128.40.214:8888/udp/239.77.0.129:5146
CCTV1超清,http://218.19.111.73:9999/udp/239.77.0.129:5146
﻿CCTV1,http://110.72.78.171:808/hls/54/index.m3u8
﻿CCTV1,http://110.72.75.149:808/hls/54/index.m3u8
﻿CCTV1,http://110.72.75.189:808/hls/54/index.m3u8
﻿CCTV1,http://110.72.81.106:808/hls/54/index.m3u8
CCTV2,http://123.14.89.74:8888/hls/2/index.m3u8
CCTV2,http://112.46.85.60:8002/hls/502/index.m3u8
CCTV2,http://125.88.8.114:9901/tsfile/live/0002_1.m3u8
CCTV2,http://110.72.76.61:808/hls/97/index.m3u8
CCTV2,http://111.225.94.184:8800/hls/2/index.m3u8
CCTV2,http://110.72.75.189:808/hls/97/index.m3u8
CCTV2,http://123.54.170.154:808/hls/2/index.m3u8
CCTV2,http://110.72.82.31:808/hls/97/index.m3u8
CCTV2,http://222.67.181.186:8888/udp/239.45.1.109:5140
CCTV2,http://115.204.73.138:8888/rtp/233.50.201.119:5140
CCTV2,http://27.11.54.168:8010/udp/225.0.4.132:7980
CCTV2,http://60.163.16.216:8888/rtp/233.50.201.119:5140
CCTV2,http://27.11.49.156:8010/udp/225.0.4.132:7980
CCTV2,http://117.30.115.27:8888/rtp/239.61.2.174:9032
CCTV2,http://125.120.147.105:8888/rtp/233.50.201.119:5140
CCTV2-财经,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV2-财经,http://222.92.7.170:3333/tsfile/live/0002_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV2-财经,http://1.180.245.195:9901/tsfile/live/0002_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV3,http://112.46.85.60:8002/hls/3/index.m3u8
CCTV3,http://121.19.134.190:808/tsfile/live/0003_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV3,http://121.24.98.117:8090/hls/11/index.m3u8
CCTV3,http://171.8.245.48:808/hls/3/index.m3u8
CCTV3,http://182.126.117.20:808/hls/3/index.m3u8
CCTV3,http://110.72.81.106:808/hls/37/index.m3u8
CCTV3,http://125.88.8.114:9901/tsfile/live/0003_1.m3u8
CCTV3,http://112.114.137.134:888/hls/3/index.m3u8
CCTV3,http://123.160.175.103:85/tsfile/live/0003_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV3,http://123.54.170.154:808/hls/3/index.m3u8
CCTV3,http://123.14.89.74:8888/hls/3/index.m3u8
CCTV3,http://14.216.233.242:8888/udp/239.77.0.175:5146
CCTV3,http://27.10.15.209:8004/udp/225.0.4.142:7980
CCTV3,http://27.11.49.156:8010/udp/225.0.4.142:7980
CCTV3,http://115.204.73.138:8888/rtp/233.50.201.196:5140
CCTV3-综艺,http://61.141.202.118:9901/tsfile/live/0003_2.m3u8?key=txiptv&amp;playlive=0&amp;authid=0
CCTV3-综艺,http://58.19.182.187:9901/tsfile/live/0003_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV3-综艺,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV3超清,http://116.5.239.220:8000/udp/239.77.0.175:5146
CCTV3超清,http://219.128.40.214:8888/udp/239.77.0.175:5146
CCTV3超清,http://113.111.17.115:8888/udp/239.77.0.175:5146
CCTV3超清,http://218.19.111.218:9999/udp/239.77.0.175:5146
CCTV3超清,http://113.71.149.149:5555/udp/239.77.0.175:5146
CCTV3超清,http://218.19.110.145:9999/udp/239.77.0.175:5146
CCTV3超清,http://218.19.111.239:9999/udp/239.77.0.175:5146
CCTV3超清,http://113.100.72.95:8899/udp/239.77.0.175:5146
CCTV3超清,http://183.7.106.241:4022/udp/239.77.0.175:5146
CCTV3超清,http://113.74.172.130:4000/udp/239.77.0.175:5146
CCTV3超清,http://14.216.233.242:8888/udp/239.77.0.175:5146
CCTV3超清,http://113.65.7.195:8888/udp/239.77.0.175:5146
CCTV3超清,http://14.121.146.49:554/udp/239.77.0.175:5146
CCTV4,http://121.24.98.117:8090/hls/12/index.m3u8
CCTV4,http://171.104.193.222:8181/tsfile/live/0004_1.m3u8
CCTV4,http://111.225.95.194:8800/hls/4/index.m3u8
CCTV4,http://111.225.94.184:8800/hls/4/index.m3u8
CCTV4,http://180.143.83.235:8181/tsfile/live/0004_1.m3u8
CCTV4,http://117.70.233.138:888/hls/4/index.m3u8
CCTV4,http://110.72.84.177:808/hls/113/index.m3u8
CCTV4,http://110.72.76.61:808/hls/113/index.m3u8
CCTV4,http://223.240.51.168:4022/rtp/238.1.78.236:7760
CCTV4,http://110.72.78.171:808/hls/113/index.m3u8
CCTV4,http://14.216.233.242:8888/udp/239.77.1.166:5146
CCTV4,http://110.72.82.31:808/hls/113/index.m3u8
CCTV4,http://27.11.57.83:8008/udp/225.0.4.176:7980
CCTV4,http://27.16.188.107:4022/rtp/239.69.1.138:10466
CCTV4,http://61.150.11.116:4444/rtp/239.112.205.202:5140
CCTV4-国际,http://61.141.202.118:9901/tsfile/live/0003_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV4-国际,http://58.19.182.187:9901/tsfile/live/0004_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV4-国际,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV4-国际,http://222.92.7.170:3333/tsfile/live/0004_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV4K,http://113.71.149.149:5555/udp/239.77.0.194:5146
CCTV4K,http://116.5.239.220:8000/udp/239.77.0.194:5146
CCTV4K,http://120.4.34.234:4000/rtp/239.253.93.134:6631
CCTV4K,http://219.128.40.214:8888/udp/239.77.0.194:5146
CCTV4K,http://218.19.111.239:9999/udp/239.77.0.194:5146
CCTV4K,http://14.121.146.49:554/udp/239.77.0.194:5146
CCTV4K,http://183.7.106.241:4022/udp/239.77.0.194:5146
CCTV4K,http://113.111.17.115:8888/udp/239.77.0.194:5146
CCTV4K,http://218.19.110.145:9999/udp/239.77.0.194:5146
CCTV4K,http://120.6.187.182:4022/rtp/239.253.93.134:6631
CCTV4K,http://113.100.72.95:8899/udp/239.77.0.194:5146
CCTV4K,http://113.74.172.130:4000/udp/239.77.0.194:5146
CCTV4K,http://101.75.182.162:4000/rtp/239.253.93.134:6631
CCTV4K,http://219.128.40.98:4022/udp/239.77.0.194:5146
CCTV4K,http://14.216.233.242:8888/udp/239.77.0.194:5146
CCTV4K50p,http://116.5.239.220:8000/udp/239.77.0.174:5146
CCTV4K50p,http://113.111.17.115:8888/udp/239.77.0.174:5146
CCTV4K50p,http://219.128.40.214:8888/udp/239.77.0.174:5146
CCTV4K50p,http://218.19.110.145:9999/udp/239.77.0.174:5146
CCTV4K50p,http://113.74.172.130:4000/udp/239.77.0.174:5146
CCTV4K50p,http://219.128.40.98:4022/udp/239.77.0.174:5146
CCTV4K50p,http://113.71.149.149:5555/udp/239.77.0.174:5146
CCTV4K50p,http://218.19.111.239:9999/udp/239.77.0.174:5146
