【  江苏频道  】,#genre#
江苏晚会4K_电信_重庆,http://113.251.180.215:4022/rtp/235.254.198.147:1866
聚鲨环球_联通_内蒙,http://116.116.118.78:9999/udp/239.125.1.136:4130
聚鲨环球精选_电信_北京,http://115.171.251.148:8888/udp/225.1.8.58:8002
聚鲨环球精选_电信_北京,http://115.171.216.22:4000/udp/225.1.8.58:8002
聚鲨环球精选_电信_江西,http://117.44.1.159:20000/hls/68/index.m3u8
聚鲨环球精选_联通_天津,http://221.198.174.113:8888/udp/225.1.1.102:5002
聚鲨环球精选_联通_山西,http://171.117.202.161:8082/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://221.205.200.128:8085/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://183.188.20.168:6000/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://171.117.120.54:8083/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://60.223.72.4:8001/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://171.118.108.99:8084/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://171.117.180.171:8084/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://171.117.202.161:8083/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://171.120.69.226:8005/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://118.79.114.230:6000/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://183.184.138.144:8085/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://171.120.109.234:8085/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://116.179.130.242:6000/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://118.81.201.143:8085/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://60.223.72.253:8001/rtp/226.0.2.122:8888
聚鲨环球精选_联通_山西,http://171.116.71.69:8084/rtp/226.0.2.122:8888
聚鲨环球精选_联通_辽宁,http://175.147.76.205:8888/rtp/232.0.0.207:1234
【  广东频道  】,#genre#
东莞新闻综合_电信_广东,http://113.67.166.23:8889/udp/239.253.43.104:5146
东莞新闻综合_电信_广东,http://113.78.253.125:8888/udp/239.253.43.104:5146
东莞新闻综合_电信_广东,http://14.145.232.2:8888/udp/239.253.43.104:5146
东莞新闻综合_电信_广东,http://14.117.234.16:9000/udp/239.253.43.104:5146
东莞新闻综合_电信_广东,http://113.75.183.99:2086/udp/239.253.43.104:5146
东莞新闻综合_电信_广东,http://218.19.110.134:9999/udp/239.253.43.104:5146
东莞新闻综合_电信_广东,http://125.92.101.148:8899/udp/239.253.43.104:5146
东莞生活资讯_电信_广东,http://14.216.239.140:8888/udp/239.253.43.105:5146
东莞生活资讯_电信_广东,http://14.117.234.16:9000/udp/239.253.43.105:5146
东莞生活资讯_电信_广东,http://113.75.183.99:2086/udp/239.253.43.105:5146
东莞生活资讯_电信_广东,http://14.145.232.2:8888/udp/239.253.43.105:5146
东莞生活资讯_电信_广东,http://113.78.253.125:8888/udp/239.253.43.105:5146
东莞生活资讯_电信_广东,http://218.19.110.134:9999/udp/239.253.43.105:5146
