【  卫视频道  】,#genre#
东南卫视,http://ynxsj.7766.org:9901/tsfile/live/0137_1.m3u8
云南卫视,http://120.84.121.54:808/hls/151/index.m3u8
兵团卫视,http://120.84.121.106:808/hls/157/index.m3u8
兵团卫视,http://120.84.121.11:808/hls/157/index.m3u8
兵团卫视,http://120.84.121.54:808/hls/157/index.m3u8
兵团卫视,http://182.46.8.161:8018/hls/78/index.m3u8
内蒙古卫视,http://123.54.174.167:808/hls/84/index.m3u8
内蒙古卫视,http://182.46.8.161:8018/hls/67/index.m3u8
凤凰卫视,http://110.72.64.135:808/hls/62/index.m3u8
北京卫视,http://182.46.8.161:8018/hls/46/index.m3u8
北京卫视,http://222.137.231.41:808/hls/33/index.m3u8
北京卫视,http://110.72.64.135:808/hls/137/index.m3u8
北京卫视高清,http://120.84.121.11:808/hls/153/index.m3u8
厦门卫视,http://120.84.121.106:808/hls/156/index.m3u8
厦门卫视,http://182.46.8.161:8018/hls/77/index.m3u8
厦门卫视,http://120.84.121.11:808/hls/156/index.m3u8
吉林卫视,http://120.84.121.106:808/hls/136/index.m3u8
吉林卫视,http://120.84.121.54:808/hls/136/index.m3u8
吉林卫视,http://123.54.174.167:808/hls/81/index.m3u8
吉林卫视,http://120.84.121.11:808/hls/136/index.m3u8
四川卫视,http://120.84.121.54:808/hls/165/index.m3u8
四川卫视,http://120.84.121.11:808/hls/165/index.m3u8
四川卫视,http://120.84.121.106:808/hls/165/index.m3u8
四川卫视,http://110.72.64.135:808/hls/44/index.m3u8
四川卫视,http://123.54.174.167:808/hls/76/index.m3u8
四川卫视,http://ynxsj.7766.org:9901/tsfile/live/0123_1.m3u8
四川卫视,http://222.137.231.41:808/hls/52/index.m3u8
大湾区卫视,http://120.84.121.106:808/hls/119/index.m3u8
大湾区卫视,http://120.84.121.54:808/hls/119/index.m3u8
大湾区卫视,http://120.84.121.11:808/hls/119/index.m3u8
天津卫视,http://120.84.121.106:808/hls/149/index.m3u8
天津卫视,http://171.117.47.93:9999/tsfile/live/0135_1.m3u8
天津卫视,http://182.46.8.161:8018/hls/47/index.m3u8
天津卫视,http://ynxsj.7766.org:9901/tsfile/live/0135_1.m3u8
天津卫视,http://123.54.174.167:808/hls/78/index.m3u8
天津卫视,http://110.72.64.135:808/hls/20/index.m3u8
宁夏卫视,http://110.72.64.135:808/hls/50/index.m3u8
宁夏卫视,http://120.84.121.54:808/hls/140/index.m3u8
宁夏卫视,http://123.54.174.167:808/hls/82/index.m3u8
安徽卫视,http://110.72.64.135:808/hls/145/index.m3u8
安徽卫视,http://120.84.121.106:808/hls/131/index.m3u8
安徽卫视,http://120.84.121.11:808/hls/131/index.m3u8
安徽卫视,http://120.84.121.54:808/hls/131/index.m3u8
安徽卫视,http://123.54.174.167:808/hls/68/index.m3u8
安徽卫视,http://222.137.231.41:808/hls/32/index.m3u8
安徽卫视,http://ynxsj.7766.org:9901/tsfile/live/0130_1.m3u8
山东卫视,http://ynxsj.7766.org:9901/tsfile/live/0131_1.m3u8
山东卫视,http://110.72.64.135:808/hls/35/index.m3u8
山东卫视,http://110.72.64.135:808/hls/1011/index.m3u8
山东卫视,http://123.54.174.167:808/hls/67/index.m3u8
山东卫视,http://171.117.47.93:9999/tsfile/live/0131_1.m3u8
山西卫视,http://171.117.47.93:9999/tsfile/live/0118_1.m3u8
山西卫视,http://120.84.121.54:808/hls/138/index.m3u8
山西卫视,http://110.72.56.74:808/hls/42/index.m3u8
山西卫视,http://120.84.121.11:808/hls/138/index.m3u8
山西卫视,http://222.137.231.41:808/hls/50/index.m3u8
山西卫视,http://182.46.8.161:8018/hls/70/index.m3u8
广东体育卫视,http://120.84.121.54:808/hls/22/index.m3u8
广东体育卫视,http://120.84.121.11:808/hls/22/index.m3u8
广东南方卫视,http://219.135.208.218:8083/tsfile/live/1003_1.m3u8
广东卫视,http://219.135.208.218:8083/tsfile/live/0016_1.m3u8
广东卫视,http://123.54.174.167:808/hls/65/index.m3u8
广东卫视,http://ynxsj.7766.org:9901/tsfile/live/0125_1.m3u8
广东珠江卫视,http://120.84.121.106:808/hls/122/index.m3u8
广东珠江卫视,http://120.84.121.11:808/hls/122/index.m3u8
广西卫视,http://123.54.174.167:808/hls/85/index.m3u8
广西卫视,http://ynxsj.7766.org:9901/tsfile/live/0113_1.m3u8
广西卫视,http://182.46.8.161:8018/hls/58/index.m3u8
新疆卫视,http://120.84.121.54:808/hls/164/index.m3u8
新疆卫视,http://120.84.121.106:808/hls/164/index.m3u8
