【  影视频道  】,#genre#
CCTV怀旧剧场,http://111.225.114.100:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://111.225.114.100:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云剧场,http://111.225.114.100:808/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.235.202.190:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.235.202.247:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.235.202.75:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.202.159:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.202.190:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.202.75:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://112.235.202.127:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://112.235.202.127:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://112.235.202.159:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://112.235.202.250:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://112.235.200.61:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://112.235.200.85:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
山东影视,http://112.6.117.141:9901/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
江苏影视,http://221.226.4.10:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视,http://123.182.214.134:8088/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视剧,http://111.225.114.100:808/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖北影视,http://113.57.103.216:9000/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
湖北影视,http://58.53.154.26:9901/tsfile/live/faacts/1016_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://175.0.50.196:8899/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
热播剧场,http://1.194.50.138:10086/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://123.182.214.134:8088/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://113.195.13.183:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=0&authid=0
经典电影,http://1.194.50.138:10086/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://49.87.154.246:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
陕西西部影视,http://113.140.69.126:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
陕西西部影视,http://219.145.19.57:1050/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
陕西西部影视,http://219.145.19.57:2628/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
陕西西部影视,http://219.145.19.57:3001/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
陕西西部影视,http://219.145.19.57:465/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
陕西西部影视,http://219.145.19.57:59012/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
陕西西部影视,http://219.145.19.57:57787/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
陕西西部影视,http://219.145.19.57:587/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
风云剧场,http://49.87.154.246:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://113.195.13.183:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0
风云剧场,http://113.195.13.183:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
